date,AAPL,ADMP,ADMS,ADNT,AFSI,ARRY,BANC,BANF,BDSI,BREW,CAAS,CABO,CACC,CACI,CAKE,CCOI,CRESY,DFIN,DFRG,DGLD,DXB,DWTR,EBAY,EXLS,EPZM,FLOW,FLWS,GTN,GWB,HIBB,HASI,ISTR,IVAC,KRNT,LOCO,NTRI,OEC,PEE,PSCI,QQQ,RE,SAVR,TNC,TNP,VIAV,VTRB,VTEN,ZBIQ,ZFGN,ZUMZ
2017/1/3,116.1500015,3.25,16.59000015,57.72999954,27.27000046,8.56000042,17.25,46.09999847,1.75,17.10000038,5.400000095,619.6599731,216.3399963,124.3499985,59.43000031,41.84999847,16.37999916,23.45999908,17.04999924,63.06999969,24.04000092,24.53499985,29.84000015,50.25,12.30000019,33.29999924,10.80000019,10.94999981,43.77000046,37.04999924,19.12000084,18.95000076,9,13.25,12.69999981,35.09999847,19.04999924,33,55.95999908,119.5400009,216.0399933,39.90000153,72.59999847,4.860000134,8.359999657,24,3.5,45.20000076,3.24000001,22
2017/1/4,116.0199966,3.200000048,18,58.18000031,27.38999939,9.170000076,17.70000076,47.42499924,1.75,17.25,5.449999809,606.4000244,220.6199951,126.5500031,59.38999939,42.40000153,16.5,24.12000084,16.79999924,62.49000168,24.13999939,24.78000069,29.76000023,50.86999893,12.39999962,33.38999939,11.05000019,11.19999981,44.25,37.79999924,19.19000053,19.04999924,8.899999619,12.89999962,13.10000038,36.75,19.39999962,33.29000092,56.50999832,120.1900024,217.8000031,40.25,74.15000153,5.019999981,8.550000191,24.70000076,3.599999905,41.61999893,3.329999924,22.75
2017/1/5,116.6100006,3.200000048,18.04999924,57,27.32999992,8.819999695,17.35000038,46.65000153,1.850000024,17.04999924,5.449999809,586.4400024,209.4900055,124.8000031,58.40000153,41.90000153,16.78000069,24.19000053,16.64999962,59.63000107,24.09000015,24.62000084,30.01000023,50.63000107,11.89999962,32.02999878,10.89999962,11,43.43000031,36.04999924,19.12000084,19.45000076,9.149999619,12.5,12.85000038,35.09999847,19.14999962,33.61000061,55.61999893,120.8700027,217.7799988,39.38000107,71.65000153,5.050000191,8.479999542,24.26000023,3.599999905,41.25999832,3.349999905,20.60000038
2017/1/6,117.9100037,3.299999952,19.02000046,56.49000168,27.5,8.93999958,17.35000038,46.52500153,1.899999976,16.75,5.5,570,209.6799927,124.5,58.34999847,41.65000153,16.98999977,24.12999916,16,60.91999817,24.12000084,24.68000031,31.04999924,50.38000107,12.10000038,33.18999863,10.55000019,11.05000019,43.45999908,34.40000153,19.51000023,19.04999924,8.850000381,12.64999962,12.5,34.54999924,19.45000076,33.47999954,55.25,121.9300003,218.8200073,39.43000031,71.25,5.039999962,8.520000458,24.19000053,3.700000048,40.40000153,4.179999828,19.85000038
2017/1/9,118.9899979,3.299999952,18.09000015,55.88000107,27.05999947,9.399999619,17.29999924,45.875,1.850000024,16.04999924,5.679999828,576.8900146,207.6399994,123.9499969,58.38000107,41.45000076,17,23.29000092,15.85000038,59.43000031,24.20999908,24.43000031,30.75,50.06000137,11.94999981,33.09000015,10.64999962,10.94999981,42.93999863,34.25,19.96999931,19.64999962,8.600000381,13.35000038,12.35000038,34.04999924,18.95000076,33.47000122,54.61000061,122.3300018,216.9700012,38.81999969,70.80000305,5.019999981,8.369999886,24.29999924,3.599999905,38.70000076,4.059999943,19.95000076
2017/1/10,119.1100006,3.450000048,17.34000015,58.54000092,27.28000069,9.75,17.25,46.90000153,1.850000024,15.85000038,5.900000095,578.2800293,209.6900024,123.8499985,59.90999985,41.5,16.93000031,23.60000038,17.25,58.74000168,24.23999977,24.57999992,30.25,49.79999924,12,33.83000183,10.75,10.55000019,43.43000031,34.59999847,20.13999939,19.35000038,8.449999809,13.94999981,12.69999981,34.90000153,19.75,33.43999863,55.52999878,122.5999985,219.4199982,39.52000046,69.30000305,5.059999943,8.369999886,24.5,3.299999952,37.74000168,3.980000019,20.20000076
2017/1/11,119.75,3.400000095,16.70999908,61.56000137,27.31999969,9.420000076,17.04999924,47.02500153,1.899999976,14.89999962,5.670000076,586.4000244,211.5399933,123.9499969,60.04000092,41.40000153,16.88999939,23.63999939,17.95000076,58.06000137,24.45000076,24.71999931,30.40999985,49.63000107,11.5,35.52000046,10.64999962,10.94999981,43.70999908,34.09999847,19.79999924,19.35000038,8.350000381,16.79999924,12.75,34.84999847,20.20000076,32.83000183,55.95999908,122.9300003,220.0899963,39.90000153,67.80000305,5.059999943,8.409999847,24.92000008,3.299999952,41.20000076,3.789999962,19.75
2017/1/12,119.25,3.25,16.72999954,60.08000183,27.02000046,10.10999966,16.79999924,46.20000076,1.950000048,14.5,5.5,574.0300293,210.4100037,123.6999969,60.90000153,41.40000153,16.39999962,23.11000061,17.54999924,57.50999832,24.43000031,24.45999908,30.35000038,49.18999863,11.39999962,35.09999847,10.25,10.64999962,42.77000046,33.75,19.57999992,19.60000038,8.350000381,16.95000076,12.5,34.45000076,19.95000076,32.59999847,55.33000183,122.7399979,219.7799988,39.31999969,66.5,5.099999905,8.359999657,25.15999985,4.199999809,40.54000092,4.090000153,19.60000038
2017/1/13,119.0400009,3.200000048,17.12999916,61.41999817,27.06999969,10.86999989,16.85000038,47.09999847,2,15.5,5.460000038,579.0100098,208.4799957,123.5999985,60.41999817,41.90000153,16.61000061,22.62000084,17.20000076,57.08000183,24.5,24.57999992,30.29000092,49.58000183,11.39999962,35.09000015,10.35000038,10.60000038,43.29000092,34,19.29999924,19.25,8.300000191,17.70000076,12.44999981,34.70000076,19.95000076,32.52000046,55.97000122,123.1600037,219.25,39.63000107,68.40000153,4.920000076,8.590000153,24.86000061,4.400000095,40.15999985,4.230000019,19.85000038
2017/1/17,120,3.079999924,16.26000023,62.88000107,26.98999977,11.23999977,16.10000038,46.34999847,1.850000024,15,5.510000229,578.4699707,207.9900055,122.3000031,59.59000015,42.15000153,16.57999992,22.68000031,16.89999962,54.65000153,24.39999962,24.40600014,30.29000092,48.66999817,10.5,34.02000046,10.10000038,10.05000019,41.68000031,34.09999847,19.47999954,19.35000038,8.199999809,16.79999924,12.5,35.34999847,20.20000076,32.06000137,55.04999924,122.7900009,217.8699951,38.25,67.15000153,4.989999771,8.489999771,24.73999977,3.900000095,42.45999908,4.039999962,20.39999962
2017/1/18,119.9899979,3,16.61000061,64.76999664,26.95999908,11.25,16.29999924,47.07500076,1.850000024,15.14999962,5.429999828,597.0900269,206,123.3000031,59.47999954,42.15000153,16.5,23.06999969,17.25,56.06000137,24.27000046,24.56999969,30.38999939,48.43000031,10.55000019,34.61999893,10.10000038,10.39999962,41.93999863,34.15000153,19.38999939,19.45000076,8.199999809,16.39999962,12.60000038,35.59999847,19.70000076,32.02999878,55.36000061,123.0400009,221.1799927,38.45000076,67.19999695,4.960000038,8.399999619,24.78000069,3.900000095,41.40000153,4.019999981,20.25
